lat,long,vx,vy
38.7380567,-9.13830525,-3.02851607,0.645314514
38.738057,-9.13830703,-3.06722026,0.682495717
38.7380572,-9.13830878,-3.02423274,0.597131493
38.7380575,-9.13831045,-2.98392305,0.705064646
38.7380578,-9.13831212,-2.92537363,0.667664749
38.7380581,-9.1383138,-2.96091353,0.707161352
38.7380584,-9.13831561,-3.08658962,0.628751076
38.7380587,-9.13831729,-2.9571418,0.730334278
38.738059,-9.13831897,-2.99152925,0.576171198
38.7380594,-9.13832069,-2.95220366,0.669091462
38.7380597,-9.13832248,-3.07147259,0.649419913
38.7380601,-9.13832416,-2.93177679,0.635926264
38.7380605,-9.13832574,-2.92068091,0.830688592
38.7380607,-9.1383275,-2.98576413,0.60955317
38.738061,-9.13832919,-2.95585117,0.711445665
38.7380613,-9.13833093,-3.01353492,0.621369379
38.7380617,-9.13833253,-2.9443853,0.564495268
38.738062,-9.13833407,-2.73768232,0.861590595
38.7380624,-9.13833571,-2.78315974,0.790039586
38.7380627,-9.13833728,-2.73529412,0.728182507
38.738063,-9.13833879,-2.72695385,0.504417611
38.7380635,-9.13834028,-2.66665348,0.879446141
38.7380637,-9.13834183,-2.63399979,0.586851031
38.738064,-9.13834345,-2.74062999,0.764175322
38.7380643,-9.13834492,-2.66040024,0.753029665
38.7380646,-9.13834648,-2.68765455,0.603109503
38.738065,-9.13834797,-2.66492628,0.714913824
38.7380654,-9.1383495,-2.62765185,0.854999951
38.7380657,-9.13835102,-2.70840842,0.595275033
38.7380662,-9.13835251,-2.60380732,0.96583569
38.7380664,-9.13835391,-2.38771672,0.617840394
38.7380668,-9.13835524,-2.3675959,0.897440048
38.7380672,-9.13835664,-2.43123293,0.75095943
38.7380675,-9.13835811,-2.47023164,0.81982668
38.7380676,-9.1383596,-2.55083155,0.429268185
38.7380681,-9.13836095,-2.40779697,0.697489229
38.7380682,-9.13836226,-2.38692012,0.549054545
38.7380684,-9.13836358,-2.32226553,0.425006595
38.7380688,-9.13836498,-2.33915419,0.683090625
38.738069,-9.13836628,-2.27266462,0.533174728
38.7380695,-9.13836737,-2.08470132,0.892561216
38.7380698,-9.13836875,-2.26478305,0.726706696
38.7380698,-9.13837019,-2.41246439,0.304500259
38.7380701,-9.13837156,-2.37162655,0.550641788
38.7380705,-9.1383728,-2.21882607,0.624496182
38.7380707,-9.13837395,-2.06853883,0.633977893
38.7380711,-9.13837525,-2.16100906,0.793856551
38.7380713,-9.1383765,-2.16028087,0.706964159
38.738072,-9.13837783,-2.33206503,1.10480317
38.7380724,-9.13837917,-2.21969822,0.779865393
38.7380726,-9.13838038,-2.22021621,0.787763352
38.738073,-9.13838175,-2.39541018,0.796816646
38.7380733,-9.13838307,-2.38459387,0.706073509
38.7380734,-9.13838445,-2.39445236,0.547202722
38.7380741,-9.13838573,-2.31146004,0.93040352
38.7380742,-9.13838721,-2.45341864,0.651785683
38.7380744,-9.13838851,-2.3477846,0.462393602
38.7380746,-9.13838997,-2.52264943,0.389518586
38.7380746,-9.13839143,-2.56893382,0.126083725
38.7380747,-9.138393,-2.71264566,0.437910017
38.7380752,-9.13839442,-2.61046218,0.743043229
38.7380754,-9.13839589,-2.53678269,0.738709794
38.7380758,-9.13839731,-2.5520716,0.543730978
38.7380799,-9.13839858,-2.42533982,0.414079811
38.7380832,-9.13839997,-2.66387765,0.480152374
38.7380835,-9.13840148,-2.79660231,0.832664875
38.7380839,-9.13840304,-2.71474207,0.769939488
38.738083,-9.13840461,-2.69207791,0.550688684
38.7380833,-9.13840594,-2.4867068,0.563530404
38.7380835,-9.1384074,-2.86482682,0.61489546
38.7380838,-9.13840897,-2.56512355,0.337990924
38.7380805,-9.13841044,-2.35918371,0.158885921
38.7380808,-9.13841179,-2.33286844,0.216700096
38.738081,-9.13841342,-2.66713592,0.570724325
38.7380814,-9.13841492,-2.55297754,0.410130355
38.7380839,-9.13841633,-2.61410985,0.597713023
38.7380843,-9.13841803,-2.79608616,0.458758087
38.7380841,-9.13841939,-2.59110005,-0.160468085
38.7380846,-9.13842096,-2.67978929,1.02866335
38.7380837,-9.13842258,-2.71155664,0.486912007
38.7380839,-9.13842416,-2.73597643,0.426086478
38.7380842,-9.13842562,-2.60255228,0.459320943
38.7380844,-9.13842711,-2.59940561,0.149934101
38.7380801,-9.13842903,-2.84083517,-0.160807705
38.7380804,-9.13843056,-2.80992168,0.548023512
38.7380875,-9.13843183,-2.69766317,0.142056115
38.7380872,-9.13843331,-2.61485835,-0.310145319
38.7380804,-9.13843489,-2.24309264,-0.0172988112
38.7380807,-9.13843648,-3.19105232,0.162320503
38.7380813,-9.13843828,-2.85243723,1.32103293
38.7380814,-9.13843994,-2.79683413,0.673850763
38.7380815,-9.1384414,-2.74147876,0.621932436
38.738082,-9.13844313,-2.79628963,0.785168592
38.7380818,-9.13844466,-2.74245783,-0.0511933335
38.738082,-9.13844621,-2.60538173,0.444555367
38.7380825,-9.13844773,-2.78457763,0.787855922
38.7380825,-9.13844938,-2.82333307,0.0166358326
38.7380818,-9.13845081,-2.59187986,-1.05732555
38.7380824,-9.13845249,-2.93350133,0.327545624
38.738087,-9.13845425,-3.1630115,0.357208535
38.7380867,-9.13846033,-2.91420616,-1.49982312
38.7380874,-9.13846207,-3.08757543,0.384617874
38.7380856,-9.13846416,-3.39082789,-0.00285746676
38.7380907,-9.13846707,-3.10615971,-0.891314854
38.7380906,-9.13846864,-2.94529675,-0.0918606657
38.7380933,-9.13847065,-3.26116896,0.223155223
38.7380933,-9.13847234,-3.16725797,0.330471907
38.7381038,-9.13847611,-3.348342,0.58975002
38.7381038,-9.13847777,-3.09698617,-0.36834934
38.7381031,-9.13847969,-3.32271712,0.0978363944
38.7381041,-9.13848162,-3.25567832,0.727644847
38.7380953,-9.13848195,-3.3443108,0.586490333
38.7380956,-9.13848407,-3.53388473,1.04694851
38.7380953,-9.13848574,-3.08667471,-0.464613426
38.7380952,-9.13848771,-3.25508683,-0.562465764
38.7380846,-9.13848768,-3.12452128,-0.87221862
38.7380849,-9.13848958,-3.15816335,-0.486884275
38.7380919,-9.13849128,-3.37870762,-0.597349088
38.7380916,-9.13849311,-3.11561957,-1.46492033
38.7380935,-9.13849555,-3.69949041,0.995324173
38.7380937,-9.13849767,-3.59462244,0.0836156466
38.7380918,-9.13849964,-3.29055523,-0.21032626
38.7380917,-9.13850155,-3.31949203,-0.0560644596
38.7380953,-9.13850424,-3.39509209,-0.0589628653
38.7380954,-9.13850624,-3.36448109,0.0959233978
38.7380932,-9.13850825,-3.44609956,-0.0588839142
38.7380933,-9.1385104,-3.63671648,-0.0740887502
38.7380893,-9.13851163,-3.53831097,0.0154303009
38.7380889,-9.13851353,-3.422636,-0.800036608
38.7380905,-9.13851549,-3.50919687,-0.357727179
38.7380901,-9.13851748,-3.45711202,-0.997762715
38.7380919,-9.13851976,-3.43515538,0.103901927
38.7380919,-9.13852186,-3.57442058,-0.0891178885
38.7380958,-9.13852371,-3.57253577,-0.375519901
38.7380958,-9.13852567,-3.51940979,-0.233485362
38.7380911,-9.13852678,-3.55706727,-0.0920742128
38.7380913,-9.13852886,-3.6028594,0.225164004
38.7380905,-9.13853107,-3.75419754,0.0102592613
38.7380907,-9.13853302,-3.55385327,0.192159774
38.7380897,-9.13853489,-3.57753165,0.109900877
38.7380894,-9.138537,-3.67895885,-0.215723968
